id,order_id,item_id,customer_id,units,payment_id,order_type,ts,staff_id
1,3,9,9,3,352,Delivery,2022-06-18 08:12:32,1
2,3,12,9,1,352,Pickup,2022-06-18 08:12:32,1
3,3,20,9,3,352,Delivery,2022-06-18 08:12:32,1
4,3,2,9,2,352,Delivery,2022-06-18 08:12:32,1
5,3,14,9,1,352,Delivery,2022-06-18 08:12:32,1
6,3,18,9,4,352,Pickup,2022-06-18 08:12:32,1
7,10,12,5,2,333,Delivery,2022-06-27 20:42:35,4
8,10,10,5,5,333,Delivery,2022-06-27 20:42:35,4
9,10,16,5,2,333,Pickup,2022-06-27 20:42:35,4
10,10,17,5,1,333,Pickup,2022-06-27 20:42:35,4
11,10,18,5,5,333,Pickup,2022-06-27 20:42:35,4
12,10,7,5,1,333,Delivery,2022-06-27 20:42:35,4
13,10,9,5,4,333,Delivery,2022-06-27 20:42:35,4
14,10,3,5,1,333,Delivery,2022-06-27 20:42:35,4
15,24,14,12,3,545,Delivery,2022-06-05 12:48:37,2
16,24,3,12,2,545,Pickup,2022-06-05 12:48:37,2
17,24,15,12,2,545,Delivery,2022-06-05 12:48:37,2
18,31,6,12,4,792,Delivery,2022-06-15 23:01:49,2
19,31,19,12,4,792,Delivery,2022-06-15 23:01:49,2
20,31,15,12,1,792,Pickup,2022-06-15 23:01:49,2
21,31,12,12,2,792,Delivery,2022-06-15 23:01:49,2
22,11,8,6,3,640,Pickup,2022-06-16 17:09:37,2
23,11,9,6,2,640,Pickup,2022-06-16 17:09:37,2
24,11,5,6,1,640,Pickup,2022-06-16 17:09:37,2
25,11,15,6,4,640,Delivery,2022-06-16 17:09:37,2
26,11,3,6,1,640,Pickup,2022-06-16 17:09:37,2
27,11,20,6,4,640,Pickup,2022-06-16 17:09:37,2
28,11,2,6,3,640,Delivery,2022-06-16 17:09:37,2
29,5,13,8,5,426,Delivery,2022-06-09 18:00:38,3
30,5,10,8,5,426,Pickup,2022-06-09 18:00:38,3
31,5,3,8,5,426,Delivery,2022-06-09 18:00:38,3
32,5,12,8,1,426,Delivery,2022-06-09 18:00:38,3
33,5,9,8,3,426,Pickup,2022-06-09 18:00:38,3
34,5,5,8,4,426,Delivery,2022-06-09 18:00:38,3
35,5,17,8,1,426,Pickup,2022-06-09 18:00:38,3
36,28,1,10,4,649,Pickup,2022-06-04 07:21:11,1
37,28,4,10,2,649,Pickup,2022-06-04 07:21:11,1
38,28,14,10,3,649,Delivery,2022-06-04 07:21:11,1
39,28,5,10,2,649,Delivery,2022-06-04 07:21:11,1
40,28,6,10,4,649,Delivery,2022-06-04 07:21:11,1
41,28,16,10,1,649,Pickup,2022-06-04 07:21:11,1
42,28,3,10,1,649,Pickup,2022-06-04 07:21:11,1
43,28,11,10,1,649,Pickup,2022-06-04 07:21:11,1
44,28,9,10,1,649,Delivery,2022-06-04 07:21:11,1
45,28,7,10,1,649,Delivery,2022-06-04 07:21:11,1
46,4,16,4,2,66,Delivery,2022-06-03 17:17:05,6
47,36,12,9,3,952,Pickup,2022-06-23 14:27:33,2
48,36,13,9,3,952,Pickup,2022-06-23 14:27:33,2
49,36,14,9,4,952,Delivery,2022-06-23 14:27:33,2
50,36,16,9,4,952,Pickup,2022-06-23 14:27:33,2
51,7,18,1,1,645,Pickup,2022-06-30 17:21:05,3
52,7,10,1,5,645,Pickup,2022-06-30 17:21:05,3
53,7,14,1,5,645,Pickup,2022-06-30 17:21:05,3
54,17,6,5,3,464,Delivery,2022-06-21 17:38:04,2
55,17,12,5,4,464,Pickup,2022-06-21 17:38:04,2
56,17,4,5,2,464,Pickup,2022-06-21 17:38:04,2
57,17,14,5,4,464,Delivery,2022-06-21 17:38:04,2
58,17,13,5,4,464,Delivery,2022-06-21 17:38:04,2
59,17,5,5,5,464,Delivery,2022-06-21 17:38:04,2
60,17,20,5,3,464,Pickup,2022-06-21 17:38:04,2
61,17,2,5,1,464,Delivery,2022-06-21 17:38:04,2
62,17,15,5,3,464,Pickup,2022-06-21 17:38:04,2
63,17,8,5,1,464,Delivery,2022-06-21 17:38:04,2
