item_id,item_price,item_name,item_remains,category_id
1,1.39,"CRYSTAL GEYSER ALPINE SPRING WATER",100,1
2,2,"Coca Cola",200,1
3,3.99,"Starbucks Coffee",200,1
4,3.49,"OROWEAT COUNTRY STYLE WHITE BREAD",1000,2
5,6.99,"GRADE AA extra large eggs 12",500,3
6,0.99,"PEACH WHITE",300,6
7,4.99,"THAI STYLE FRED RICE",1000,5
8,3.99,"HUNGER MAN TURKEY MEAL",600,5
9,5.99,"CURRY RICE",20,5
10,11.49,"FROZEN TENDER CHIKEN BREASTS",500,5
11,5,"KASHI CHOCOLATE ALMOND BUTTER",800,4
12,25.13,"USDA CHOICE STEAK VALUE PACK",1000,7
13,5.99,"GOLDEN POTATOS",500,6
14,5,"SHRIMP COOKED",700,7
15,6.49,"OREO DOUBLE STUF",1000,4
16,2,PEPSI,400,1
17,1.29,"BLACK TEA",600,1
18,3.49,"GARLIC BREAD",700,2
19,2,"COUNTYSIDE CHEESE",600,3
20,1.19,"SODA WAHTER",500,1
